src	dst	amount
U8a78048d60f7	Cf4b448ef8618	2
U4c619411e5de	U000000000000	1
U8a78048d60f7	B7f628ad203b5	-1
Uc78a29f47b21	U000000000000	1
U6d2f25cc4264	C247501543b60	1
Cfc639b9aa3e0	U389f9f24b31c	1
Bfefe4e25c870	U499f24158a40	1
Ba5d64165e5d5	U1e41b5f3adff	1
Ua12e78308f49	B75a44a52fa29	4
Uf5096f6ab14e	U000000000000	1
U1d5b8c2a3400	U000000000000	1
Ucdffb8ab5145	U000000000000	1
Uaa4e2be7a87a	Cd06fea6a395f	1
Ucfe743b8deb1	U000000000000	1
U9605bd4d1218	B75a44a52fa29	4
B499bfc56e77b	Uc1158424318a	1
U682c3380036f	B75a44a52fa29	2
Ue202d5b01f8d	C637133747308	1
U6d2f25cc4264	Cab47a458295f	1
U0c17798eaab4	Cd06fea6a395f	8
U8a78048d60f7	U01814d1ec9ff	1
Ua01529fb0d57	U000000000000	1
U1c285703fc63	Cd59e6cd7e104	1
U8a78048d60f7	B45d72e29f004	-1
U499f24158a40	U000000000000	1
Cb117f464e558	U26aca0e369c7	1
Cfd59a206c07d	U99a0f1f7e6ee	1
C8ece5c618ac1	U21769235b28d	1
Uac897fe92894	C9462ca240ceb	0
U21769235b28d	C481cd737c873	1
C6f84810d3cd9	U499f24158a40	1
Ub93c197b25c5	U000000000000	1
Uadeb43da4abb	Cc9f863ff681b	2
Uc3c31b8a022f	C78d6fac93d00	3
Udece0afd9a8b	C4f2dafca724f	8
Uaa4e2be7a87a	B0e230e9108dd	2
Ubd3c556b8a25	U000000000000	1
U8a78048d60f7	U000000000000	1
U389f9f24b31c	Cdcddfb230cb5	5
Uc1158424318a	Cc9f863ff681b	1
U26aca0e369c7	C6acd550a4ef3	4
C8c753f46c014	U8842ed397bb7	1
C78d6fac93d00	Uc1158424318a	1
U8a78048d60f7	Cdcddfb230cb5	1
U9a2c85753a6d	C357396896bd0	8
Ud5b22ebf52f2	B310b66ab31fb	1
U802de6b3675a	U000000000000	1
U389f9f24b31c	Cd59e6cd7e104	3
U8a78048d60f7	B0e230e9108dd	-1
U09cf1f359454	U6d2f25cc4264	1
Uad577360d968	Cbce32a9b256a	3
U8c33fbcc06d7	U000000000000	1
Bf3a0a1165271	U9a89e0679dec	1
U09cf1f359454	B70df5dbab8c3	1
U09cf1f359454	Be29b4af3f7a5	-1
C0b19d314485e	Uaa4e2be7a87a	1
U5e1dd853cab5	U000000000000	1
U09cf1f359454	Bc896788cd2ef	-1
Uc35c445325f5	B9c01ce5718d1	4
Ub152bb6d4a86	U000000000000	1
U01814d1ec9ff	B9c01ce5718d1	10
C25639690ee57	U6d2f25cc4264	1
Ue202d5b01f8d	U000000000000	1
U362d375c067c	Bad1c69de7837	0
U1c285703fc63	C67e4476fda28	1
Ue7a29d5409f2	U000000000000	1
U8a78048d60f7	B60d725feca77	-1
U016217c34c6e	Ca0a6aea6c82e	1
U8a78048d60f7	Bfefe4e25c870	3
U9a2c85753a6d	Cdcddfb230cb5	4
Uf5096f6ab14e	Cb14487d862b3	1
U682c3380036f	C7986cd8a648a	1
U02fbd7c8df4c	Bd7a8bfcf3337	1
U7a8d8324441d	Cbbf2df46955b	5
U79466f73dc0c	B9c01ce5718d1	-6
Ucfb9f0586d9e	U000000000000	1
U8a78048d60f7	U6240251593cd	1
U704bd6ecde75	C3b855f713d19	1
Uc1158424318a	C0b19d314485e	4
U1c285703fc63	Uad577360d968	1
U499f24158a40	C8d80016b8292	1
Ce49159fe9d01	U6661263fb410	1
Uc35c445325f5	B8a531802473b	-5
U6d2f25cc4264	B8a531802473b	-1
U704bd6ecde75	B9c01ce5718d1	-1
U77f496546efa	B9c01ce5718d1	-1
U6d2f25cc4264	B7f628ad203b5	-1
U7a8d8324441d	Cd06fea6a395f	9
U8a78048d60f7	B310b66ab31fb	4
U682c3380036f	U000000000000	1
U6661263fb410	Cc01e00342d63	1
U80e22da6d8c4	Cb76829a425d9	-1
U499f24158a40	B491d307dfe01	1
Ccb7dc40f1513	U6661263fb410	1
Cb76829a425d9	Ue7a29d5409f2	1
B45d72e29f004	U26aca0e369c7	1
Ud04c89aaf453	U8a78048d60f7	1
Uac897fe92894	Be2b46c17f1da	2
B73a44e2bbd44	U8a78048d60f7	1
Ue7a29d5409f2	C399b6349ab02	5
Cfa08a39f9bb9	Ubebfe0c8fc29	1
U9605bd4d1218	B5a1c1d3d0140	2
Cdcddfb230cb5	Udece0afd9a8b	1
U7a8d8324441d	C78d6fac93d00	2
Ud04c89aaf453	B73a44e2bbd44	4
U8a78048d60f7	B79efabc4d8bf	1
U2cd96f1b2ea6	U000000000000	1
Be5bb2f3d56cb	U3c63a9b6115a	1
U8842ed397bb7	C89c123f7bcf5	1
C0cd490b5fb6a	Uad577360d968	1
U80e22da6d8c4	Be2b46c17f1da	1
U09cf1f359454	B499bfc56e77b	-1
Uc1158424318a	B7f628ad203b5	8
U7a975ca7e0b0	U000000000000	1
C2cb023b6bcef	Ucb84c094edba	1
U26aca0e369c7	B45d72e29f004	1
U016217c34c6e	C4e0db8dec53e	4
Ubeded808a9c0	B9c01ce5718d1	6
U005d51b8771c	U000000000000	1
Cc931cd2de143	Ud7002ae5a86c	1
U0c17798eaab4	C4893c40e481d	7
U1c285703fc63	U016217c34c6e	1
Ubcf610883f95	U000000000000	1
U682c3380036f	U6240251593cd	1
U499f24158a40	Cb95e21215efa	1
U606a687682ec	U000000000000	1
U1e6a314ef612	U000000000000	1
Uab766aeb8fd2	U000000000000	1
C1f41b842849c	U99a0f1f7e6ee	1
Ud7002ae5a86c	Cc931cd2de143	1
Ue20d37fe1d62	U000000000000	1
Ue5c10787d0db	U000000000000	1
U499f24158a40	B79efabc4d8bf	1
U1c285703fc63	U6d2f25cc4264	1
U9605bd4d1218	U000000000000	1
U09cf1f359454	B60d725feca77	-1
U3de789cac826	B9c01ce5718d1	1
U7a8d8324441d	C888c86d096d0	1
U499f24158a40	C10872dc9b863	1
B0e230e9108dd	U9a89e0679dec	1
B3f6f837bc345	U6d2f25cc4264	1
U8a78048d60f7	C2e31b4b1658f	1
U09cf1f359454	B25c85fe0df2d	-1
U704bd6ecde75	Cfd47f43ac9cf	1
Ua12e78308f49	U000000000000	1
U8a78048d60f7	Ub93799d9400e	1
U6d2f25cc4264	B491d307dfe01	3
U09cf1f359454	C81f3f954b643	1
U7a8d8324441d	C3fd1fdebe0e9	1
U0c17798eaab4	U000000000000	1
C0a576fc389d9	U1bcba4fd7175	1
U0ff6902d8945	U000000000000	1
U7a8d8324441d	U6d2f25cc4264	1
U6d2f25cc4264	B3f6f837bc345	1
U01814d1ec9ff	C6d52e861b366	3
U362d375c067c	Cd795a41fe71d	1
U638f5c19326f	C63e21d051dda	1
U6d2f25cc4264	B3b3f2ecde430	-1
U6240251593cd	B75a44a52fa29	4
C7986cd8a648a	U682c3380036f	1
U585dfead09c6	B9c01ce5718d1	2
C637133747308	Ue202d5b01f8d	1
U9605bd4d1218	B9c01ce5718d1	2
Cfd47f43ac9cf	U704bd6ecde75	1
Cdd49e516723a	U704bd6ecde75	1
U26aca0e369c7	Be2b46c17f1da	7
U6249d53929c4	U000000000000	1
Uad577360d968	C588ffef22463	-1
U8a78048d60f7	B3c467fb437b2	-1
Bf34ee3bfc12b	U6240251593cd	1
U5f8c0e9c8cc4	U000000000000	1
Uf2b0a6b1d423	Bb78026d99388	9
Ue202d5b01f8d	B9c01ce5718d1	2
U01814d1ec9ff	B5a1c1d3d0140	5
U8a78048d60f7	B5eb4c6be535a	-1
Ubebfe0c8fc29	U000000000000	1
U6d2f25cc4264	B310b66ab31fb	1
U6d2f25cc4264	B79efabc4d8bf	2
Cc9f863ff681b	Uc1158424318a	1
C888c86d096d0	U7a8d8324441d	1
U499f24158a40	Bfefe4e25c870	1
U660f0dfe3117	U000000000000	1
U26aca0e369c7	U000000000000	1
Uef7fbf45ef11	U6d2f25cc4264	1
U499f24158a40	C6f84810d3cd9	1
Cd6c9d5cba220	Ud5b22ebf52f2	1
Uc1158424318a	B499bfc56e77b	1
U99a0f1f7e6ee	C96bdee4f11e2	-18
U499f24158a40	Cd172fb3fdc41	1
Uaa4e2be7a87a	C0b19d314485e	1
U6d2f25cc4264	B5eb4c6be535a	-1
U17789c126682	U000000000000	1
C4818c4ed20bf	U499f24158a40	1
U585dfead09c6	U000000000000	1
U389f9f24b31c	Bad1c69de7837	2
U20d01ad4d96b	U000000000000	1
Bad1c69de7837	Uad577360d968	1
U8a78048d60f7	Bf34ee3bfc12b	3
U80e22da6d8c4	C2bbd63b00224	1
U57a6591c7ee1	U000000000000	1
U8aa2e2623fa5	U000000000000	1
U8a78048d60f7	Cc42c3eeb9d20	1
C78ad459d3b81	U9a2c85753a6d	1
Uf2b0a6b1d423	C3fd1fdebe0e9	7
Ue7a29d5409f2	Cfdde53c79a2d	5
Uaa4e2be7a87a	B7f628ad203b5	9
U5ef3d593e46e	U000000000000	1
U7382ac807a4f	U000000000000	1
U5c827d7de115	B69723edfec8a	1
U1bcba4fd7175	Cd4417a5d718e	5
U8a78048d60f7	Be2b46c17f1da	-1
U84f274f30e33	U000000000000	1
U26451935eec8	U000000000000	1
Ue202d5b01f8d	C1ccb4354d684	1
U6d2f25cc4264	B9c01ce5718d1	4
U80e22da6d8c4	C35678a54ef5f	5
Udece0afd9a8b	Cdcddfb230cb5	1
U5d0cd6daa146	U000000000000	1
C81f3f954b643	U09cf1f359454	1
U02fbd7c8df4c	B75a44a52fa29	7
U049bf307d470	U000000000000	1
U1c285703fc63	C30e7409c2d5f	4
U8a78048d60f7	Be5bb2f3d56cb	-1
Uf5096f6ab14e	U7a8d8324441d	1
B10d3f548efc4	U99a0f1f7e6ee	1
Uc3c31b8a022f	B3c467fb437b2	-1
Uadeb43da4abb	U000000000000	1
C9462ca240ceb	Uf5096f6ab14e	1
U9a2c85753a6d	C4893c40e481d	-1
Ccbd85b8513f3	U499f24158a40	1
U3de789cac826	C3c17b70c3357	1
U5ee57577b2bd	U000000000000	1
U1bcba4fd7175	Bc896788cd2ef	1
U0cd6bd2dde4f	C7062e90f7422	1
U6661263fb410	Ce49159fe9d01	1
U6d2f25cc4264	Be2b46c17f1da	-1
C4d1d582c53c3	U99a0f1f7e6ee	1
U11722d2113bf	U000000000000	1
U09cf1f359454	B310b66ab31fb	1
U389f9f24b31c	C6aebafa4fe8e	6
B491d307dfe01	U499f24158a40	1
U21769235b28d	C6d52e861b366	1
B25c85fe0df2d	Uef7fbf45ef11	1
Bdf39d0e1daf5	Uc1158424318a	1
U9a2c85753a6d	C3e84102071d1	6
U2371cf61799b	U000000000000	1
U8a78048d60f7	B63fbe1427d09	-1
Uad577360d968	C6a2263dc469e	5
Udece0afd9a8b	Bad1c69de7837	9
U8a78048d60f7	Cd5983133fb67	1
U34252014c05b	B19ea554faf29	1
U1e41b5f3adff	U000000000000	1
U9a2c85753a6d	C6aebafa4fe8e	1
U6622a635b181	U000000000000	1
Udece0afd9a8b	U1c285703fc63	1
U09cf1f359454	Be2b46c17f1da	-1
Cf92f90725ffc	U6661263fb410	1
U6d2f25cc4264	U000000000000	1
U6106ae1092fa	U000000000000	1
U8a78048d60f7	Cbce32a9b256a	1
U9a89e0679dec	Bf3a0a1165271	1
U01814d1ec9ff	U000000000000	1
Ud9df8116deba	B310b66ab31fb	1
U6661263fb410	C22e1102411ce	1
U01814d1ec9ff	B63fbe1427d09	-3
Udc7c82928598	U000000000000	1
U0cd6bd2dde4f	Bc4addf09b79f	1
U1bcba4fd7175	B4f00e7813add	3
U996b5f6b8bec	U000000000000	1
U21769235b28d	C8ece5c618ac1	1
U99a0f1f7e6ee	B10d3f548efc4	1
Ce06bda6030fe	U362d375c067c	1
U8a78048d60f7	Bf3a0a1165271	-1
Uc44834086c03	U000000000000	1
U7a54f2f24cf6	U000000000000	1
C5167c9b3d347	U362d375c067c	1
Ubeded808a9c0	U000000000000	1
C613f00c1333c	U80e22da6d8c4	1
U9e42f6dab85a	Bad1c69de7837	3
U26aca0e369c7	C599f6e6f6b64	1
U09cf1f359454	Bdf39d0e1daf5	-1
U7a8d8324441d	B7f628ad203b5	1
U8a78048d60f7	B0a87a669fc28	3
U6240251593cd	U000000000000	1
Uef7fbf45ef11	C588ffef22463	4
Uc1158424318a	C9028c7415403	-1
U499f24158a40	C247501543b60	1
C2e31b4b1658f	U8a78048d60f7	1
U3c63a9b6115a	U000000000000	1
C94bb73c10a06	Uef7fbf45ef11	1
C357396896bd0	Udece0afd9a8b	1
C6acd550a4ef3	Uc1158424318a	1
U016217c34c6e	C3e84102071d1	1
U499f24158a40	Cfe90cbd73eab	1
U016217c34c6e	U80e22da6d8c4	1
U80e22da6d8c4	C30e7409c2d5f	1
U362d375c067c	C5060d0101429	1
U9a2c85753a6d	Ce1a7d8996eb0	2
U09cf1f359454	Bf3a0a1165271	-1
Uad577360d968	C399b6349ab02	6
U9a2c85753a6d	C6a2263dc469e	1
C992d8370db6b	U6d2f25cc4264	1
U016217c34c6e	C15d8dfaceb75	8
Ub93799d9400e	B491d307dfe01	2
U14a3c81256ab	U000000000000	1
Ubd9c1e76bb53	U000000000000	1
Uadeb43da4abb	C2bbd63b00224	7
U6d2f25cc4264	Cac6ca02355da	1
U389f9f24b31c	C4f2dafca724f	5
U02fbd7c8df4c	Bad1c69de7837	-5
U1bcba4fd7175	B73a44e2bbd44	3
U0c17798eaab4	Uad577360d968	1
U80e22da6d8c4	U9e42f6dab85a	1
Cb95e21215efa	U499f24158a40	1
B1533941e2773	U79466f73dc0c	1
U8842ed397bb7	C8c753f46c014	1
U09cf1f359454	B73a44e2bbd44	1
U1e41b5f3adff	Ba5d64165e5d5	1
U6d2f25cc4264	C8d80016b8292	1
Ufa76b4bb3c95	U000000000000	1
C7a807e462b65	Ud7002ae5a86c	1
C481cd737c873	U21769235b28d	1
Ub786ef7c9e9f	U000000000000	1
U682c3380036f	Bf34ee3bfc12b	4
Bd49e3dac97b0	Uadeb43da4abb	1
Udece0afd9a8b	Uc3c31b8a022f	-1
U6d2f25cc4264	U1c285703fc63	1
U7a8d8324441d	U000000000000	1
U83e829a2e822	U000000000000	1
U0d47e4861ef0	U000000000000	1
C0166be581dd4	U499f24158a40	1
Cd172fb3fdc41	U499f24158a40	1
U79466f73dc0c	U01814d1ec9ff	1
U362d375c067c	C5167c9b3d347	1
U6661263fb410	U000000000000	1
U8842ed397bb7	C789dceb76123	1
U499f24158a40	Ccbd85b8513f3	1
U0a227036e790	U000000000000	1
U389f9f24b31c	Uc3c31b8a022f	1
U9a89e0679dec	Cd06fea6a395f	-1
U9a89e0679dec	B0e230e9108dd	1
U9e42f6dab85a	C6a2263dc469e	5
Cd4417a5d718e	Ub93799d9400e	1
U7553cc7bb536	U000000000000	1
Uef7fbf45ef11	U000000000000	1
Cb14487d862b3	Uf5096f6ab14e	1
Ub93799d9400e	U000000000000	1
Ud04c89aaf453	U000000000000	1
Uaa4e2be7a87a	C588ffef22463	1
C524134905072	Ucb84c094edba	1
U0c17798eaab4	C588ffef22463	5
Uaa4e2be7a87a	C78d6fac93d00	-1
Ue3b747447a90	U000000000000	1
Cd59e6cd7e104	U80e22da6d8c4	1
Uaa4e2be7a87a	U000000000000	1
Uc3a2aab8a776	U000000000000	1
U9a89e0679dec	Cbbf2df46955b	-1
Ucb84c094edba	B491d307dfe01	0
Ubeded808a9c0	B7f628ad203b5	-9
Uac897fe92894	U000000000000	1
U80e22da6d8c4	Ue7a29d5409f2	1
U9605bd4d1218	B8a531802473b	2
Ueb139752b907	U000000000000	1
Ub93799d9400e	Ccae34b3da05e	1
U9e42f6dab85a	U000000000000	1
B92e4a185c654	U41784ed376c3	1
B5a1c1d3d0140	Uc3c31b8a022f	1
C6a2263dc469e	Uf2b0a6b1d423	1
U9a89e0679dec	Cbce32a9b256a	6
Ub93799d9400e	B73a44e2bbd44	5
Uf5096f6ab14e	C3e84102071d1	1
Uef7fbf45ef11	C94bb73c10a06	1
C4f2dafca724f	U7a8d8324441d	1
U7a8d8324441d	B3b3f2ecde430	1
U4f530cfe771e	B7f628ad203b5	0
Ubebfe0c8fc29	Cfa08a39f9bb9	1
Ubd93205079e9	U000000000000	1
C6587e913fbbe	U6661263fb410	1
U9a2c85753a6d	U000000000000	1
U895fd30e1e2a	U000000000000	1
U0cd6bd2dde4f	C5782d559baad	1
U6d2f25cc4264	B25c85fe0df2d	-1
U7bd2e29031a4	U000000000000	1
U8676859527f3	U000000000000	1
Cbbf2df46955b	U7a8d8324441d	1
U1bcba4fd7175	U000000000000	1
B5eb4c6be535a	Uad577360d968	1
U016217c34c6e	B8a531802473b	1
Ccc25a77bfa2a	U77f496546efa	1
U01814d1ec9ff	C7062e90f7422	1
U6240251593cd	Bf34ee3bfc12b	1
U8a78048d60f7	C357396896bd0	1
Uf2b0a6b1d423	Cb76829a425d9	8
Ue7a29d5409f2	U016217c34c6e	1
Ucdffb8ab5145	B9c01ce5718d1	2
U01814d1ec9ff	B75a44a52fa29	1
U41784ed376c3	U000000000000	1
U99a0f1f7e6ee	C279db553a831	1
Cac6ca02355da	U6d2f25cc4264	1
C15d8dfaceb75	U9e42f6dab85a	1
Ca0a6aea6c82e	U016217c34c6e	1
U0c17798eaab4	U389f9f24b31c	1
Uc3c31b8a022f	B5a1c1d3d0140	1
U0453a921d0e7	U000000000000	1
U8a78048d60f7	Ud9df8116deba	1
U1bcba4fd7175	B9c01ce5718d1	9
U5f2702cc8ade	U000000000000	1
Ua7759a06a90a	U000000000000	1
U3c63a9b6115a	B75a44a52fa29	5
Bea16f01b8cc5	U1df3e39ebe59	1
Uef7fbf45ef11	C3fd1fdebe0e9	9
Uaa4e2be7a87a	C070e739180d6	8
U8a78048d60f7	B8a531802473b	-1
U01814d1ec9ff	B3b3f2ecde430	-3
U1df3e39ebe59	U000000000000	1
U6661263fb410	Ccb7dc40f1513	1
Uf2b0a6b1d423	C4e0db8dec53e	1
Ua9f1d3f8ee78	U000000000000	1
Uf5096f6ab14e	U9e42f6dab85a	-1
U8a78048d60f7	Cb07d467c1c5e	1
U6d2f25cc4264	Bfefe4e25c870	4
C789dceb76123	U8842ed397bb7	1
Uad577360d968	U389f9f24b31c	1
U80e22da6d8c4	C070e739180d6	1
C54972a5fbc16	U499f24158a40	1
U052641f28245	U000000000000	1
C8343a6a576ff	U02fbd7c8df4c	1
Bb78026d99388	U9a89e0679dec	1
Udece0afd9a8b	C599f6e6f6b64	2
U389f9f24b31c	B25c85fe0df2d	5
U77f496546efa	C9462ca240ceb	-1
